,0,1
758,289,5556
759,289,5571
760,289,5586
761,289,5601
762,289,5616
763,289,5631
764,289,5646
765,289,5661
766,289,5676
767,289,5691
768,289,5705
769,289,6580
770,289,6591
771,289,6602
772,289,6613
773,289,6624
774,289,6635
775,289,6646
776,289,6657
777,289,6668
778,289,6679
779,289,7338
780,289,7350
781,289,7362
782,289,7374
783,289,7386
784,289,7398
785,289,8542
786,289,24146
787,289,24930
788,293,15754
789,293,15824
790,293,15841
791,293,20349
792,293,20425
793,293,20445
794,293,20808
795,293,21049
796,293,22025
797,299,15679
798,299,15698
799,299,15717
800,299,15791
801,299,15808
802,299,15825
803,299,15859
804,299,15875
805,299,15939
806,305,4189
807,305,4201
808,305,4213
809,305,4225
810,305,5541
811,305,5556
812,305,5571
813,305,5586
814,305,5601
815,305,5616
816,305,5631
817,305,5646
818,305,5661
819,305,5676
820,305,5705
821,305,6591
822,305,6602
823,305,6613
824,305,6624
825,305,6635
826,305,6646
827,305,6657
828,305,6668
829,305,6679
830,305,7338
831,305,7350
832,305,7362
833,305,7374
834,305,7386
835,305,7398
836,305,24146
837,309,20808
838,315,15679
839,315,15717
840,315,15791
841,315,15808
842,315,15825
843,315,15859
844,315,15875
845,315,15939
846,321,4165
847,321,4189
848,321,4201
849,321,4213
850,321,4225
851,321,4329
852,321,5185
853,321,5200
854,321,5215
855,321,5541
856,321,5556
857,321,5571
858,321,5586
859,321,5601
860,321,5616
861,321,5631
862,321,5646
863,321,5661
864,321,5676
865,321,5691
866,321,5705
867,321,5719
868,321,5733
869,321,5747
870,321,5761
871,321,5775
872,321,5789
873,321,5803
874,321,5817
875,321,6580
876,321,6591
877,321,6602
878,321,6613
879,321,6624
880,321,6635
881,321,6646
882,321,6657
883,321,6668
884,321,6679
885,321,7338
886,321,7350
887,321,7362
888,321,7374
889,321,7386
890,321,7398
891,321,7963
892,321,8002
893,321,8015
894,321,8028
895,321,8041
896,321,8054
897,321,8542
898,321,23946
899,321,24006
900,321,24046
901,321,24066
902,321,24086
903,321,24146
904,321,24166
905,321,24206
906,321,24226
907,321,24246
908,321,24266
909,321,24286
910,321,24326
911,321,24346
912,321,24366
913,321,24386
914,321,24444
915,321,24483
916,321,24540
917,321,24559
918,321,24577
919,321,24649
